"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MRPS35",1.78436084038796,7.97935441652893,5.14796791215361,1.03892345639846e-06,8.23541589138424e-06,4.81219322612646
"PALD1",1.58850323330312,7.02638933732231,5.14606365010015,1.04759607213872e-06,8.29185104541231e-06,4.80414834487736
"MAP3K10",1.29291552145639,8.91336592208265,5.13298159904776,1.10911209247822e-06,8.72286073140517e-06,4.74893227468511
"SNHG18",1.65554593449431,5.28554999509091,5.12024256446369,1.17239035199938e-06,9.18429786021521e-06,4.69525025559211
"KRTAP9-4",1.80092777255031,5.23771742823967,5.11580846253808,1.19523013503739e-06,9.34607818884052e-06,4.67658506556166
"TAS2R7",1.08491380587833,7.99567873109091,5.11544151887381,1.19713953714256e-06,9.35532746424095e-06,4.67504089348312
"SAPCD1-AS1",1.70176536392417,6.49564331132231,5.11260228103638,1.21201436060693e-06,9.45309228296601e-06,4.66309521317222
"TAS2R1",1.33028720001807,4.59700859452893,5.10703463141524,1.24170778597938e-06,9.67055790284083e-06,4.6396824783897
"PCDHB1",1.23147435769679,5.16257898094215,5.09171369761668,1.3271218496794e-06,1.02572157437219e-05,4.57534038727701
"IL36RN",1.65433860721262,6.82510279795041,5.09119580682244,1.33010684832311e-06,1.02728505410271e-05,4.57316761399839
"TMEM106A",1.11386845610673,5.0379699503595,5.0831266170469,1.37746889674517e-06,1.06079510602211e-05,4.53933228844543
"IGBP1",1.19226985080426,5.97344645867769,5.07231745565072,1.44349336420217e-06,1.1084430346112e-05,4.49406205147648
"MAP3K5-AS2",1.17396711528277,4.92819447298347,5.07096733833018,1.45195350909852e-06,1.1143680631967e-05,4.4884119444497
"RAMP3",1.36824162133874,8.40413012131405,5.06299493088791,1.50290324697514e-06,1.14951643406712e-05,4.45506801790457
"FAM9C",1.50304822746434,4.75844750580165,5.0520657007536,1.57558616406238e-06,1.20252475102044e-05,4.40941257545686
"TATDN1",1.34770799022621,5.43682802387603,5.0511427294133,1.58187853749764e-06,1.20646486315222e-05,4.40555990736163
"E2F5",2.18397094840663,7.68160543218182,5.05093392918973,1.58330542516848e-06,1.20712200480089e-05,4.40468839646492
"RIBC2",1.7202349827822,6.05724335593388,5.04962178086979,1.59230102452158e-06,1.21354705134398e-05,4.39921215710753
"SDF2L1",1.59027262177712,5.13714332538017,5.04461537440275,1.62708222627639e-06,1.23608470089407e-05,4.3783264373487
"KCNAB3",1.18632525809499,4.36283645256198,5.03714812597992,1.68033726428979e-06,1.27382329708585e-05,4.34719955795379
"LOC100240735",1.31493376768095,6.42874785452066,5.03061104202013,1.72834783384458e-06,1.30697124616682e-05,4.31997461395761
